rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction
306.86,208896,-19.685,455,102,459,39.50003433227539,0.0003,0.2,0.43652957677841187,5910,-0.016077775586745703,0.009253995,123.27915741801262,-0.912823967076838,0.099755859375
305.09,210944,-17.420999999999996,460,103,458,12.934721946716309,0.0003,0.2,0.6591311693191528,5920,-0.014652847162506078,0.022201471,58.085852190852165,-0.9687951300293207,0.236962890625
307.14,212992,-17.717,465,104,457,16.418752670288086,0.0003,0.2,0.6116827726364136,5930,-0.016719176758488174,0.01083157,73.32040727734565,-0.964163021557033,0.130419921875
310.39,215040,-18.99,470,105,457,17.025169372558594,0.0003,0.2,0.7441424131393433,5940,-0.015483045506698545,0.011923266,61.21826753616333,-0.9439284093677998,0.13115234375
316.19,217088,-21.855,475,106,456,13.863531112670898,0.0003,0.2,0.7281152009963989,5950,-0.014302625208802055,0.010567301,34.91901460886002,-0.9751089446246624,0.137744140625
318.03,219136,-21.767000000000003,481,107,455,12.521138191223145,0.0003,0.2,0.777921199798584,5960,-0.022033964554429984,0.023065828,35.70868471264839,-1.0116325344890356,0.228076171875
318.83,221184,-21.385000000000005,487,108,454,10.58017635345459,0.0003,0.2,0.7064881324768066,5970,-0.017505686866934413,0.01191766,64.81644356548786,-0.9711336962878704,0.149267578125
318.53,223232,-21.215000000000003,492,109,453,33.57892608642578,0.0003,0.2,0.5560298562049866,5980,-0.014808629694744013,0.011817757,98.23785681128501,-0.9405793277546763,0.1208984375
322.27,225280,-23.052,499,110,450,51.134544372558594,0.0003,0.2,0.5748028755187988,5990,-0.016040861904912163,0.018439204,81.99712839722633,-0.9405432183295488,0.189892578125
326.64,227328,-24.581,506,111,448,31.415931701660156,0.0003,0.2,0.5413147211074829,6000,-0.018885835228138602,0.011864498,89.07901357710361,-0.9085206884890795,0.14306640625
326.86,229376,-24.923000000000005,512,112,447,41.447322845458984,0.0003,0.2,0.5784434080123901,6010,-0.01693661926110508,0.014108846,83.8824676156044,-0.9585260879248381,0.17265625
329.13,231424,-25.906,519,113,445,23.355255126953125,0.0003,0.2,0.4914718270301819,6020,-0.019767714868066832,0.016120415,57.55590431690216,-0.948778316564858,0.173681640625
330.06,233472,-27.861,524,114,444,12.34134292602539,0.0003,0.2,0.5293056964874268,6030,-0.017129817632667254,0.015540636,60.63248452544212,-0.968416529148817,0.1576171875
331.56,235520,-28.645000000000003,531,115,443,10.546162605285645,0.0003,0.2,0.6103568077087402,6040,-0.01647117783431895,0.014528818,73.83334289193154,-0.9243042023852468,0.17578125
332.11,237568,-29.011999999999997,538,116,441,29.613426208496094,0.0003,0.2,0.7098477482795715,6050,-0.015607320434355643,0.014082119,53.07764820456505,-0.9391332110390067,0.155126953125
340.0,239616,-33.429,544,117,440,23.1039981842041,0.0003,0.2,0.6447345018386841,6060,-0.017925083136651664,0.016283106,51.217532855272296,-0.9713461931794882,0.19501953125
342.3,241664,-35.723000000000006,548,118,440,33.39356994628906,0.0003,0.2,0.6974124908447266,6070,-0.013147285585000645,0.017419545,51.58405869603157,-0.9889537572860718,0.200390625
341.31,243712,-35.178,553,119,440,16.633621215820312,0.0003,0.2,0.7348160147666931,6080,-0.015171813884808216,0.01390326,30.525725010037423,-0.993798783235252,0.169921875
342.97,245760,-36.562,558,120,440,22.548606872558594,0.0003,0.2,0.5957925319671631,6090,-0.021514312841463833,0.015414072,69.54981169700622,-0.9710328446701169,0.21005859375
341.65,247808,-35.872,562,121,440,17.866392135620117,0.0003,0.2,0.5947479009628296,6100,-0.011905883331928635,0.025217596,50.56635191440582,-0.9567545186728239,0.225048828125
340.39,249856,-35.31100000000001,567,122,439,13.611584663391113,0.0003,0.2,0.7342721223831177,6110,-0.012709947050461778,0.02622074,27.882675825059415,-0.9630420269444585,0.2583984375
339.85,251904,-36.001,573,123,439,42.712886810302734,0.0003,0.2,0.7281242609024048,6120,-0.01792865526076639,0.015200656,51.14926875680685,-0.9708802638575434,0.190576171875
338.09,253952,-35.531,578,124,439,16.82926368713379,0.0003,0.2,0.7616438865661621,6130,-0.0164559506738442,0.026459062,27.811454013735055,-0.9558499436825514,0.269482421875
339.08,256000,-36.507,583,125,438,57.20755386352539,0.0003,0.2,0.7136468887329102,6140,-0.01862213848216925,0.02100828,74.91626314520836,-0.8950257955119014,0.194287109375
332.18,258048,-34.425,589,126,438,41.54523849487305,0.0003,0.2,0.7073167562484741,6150,-0.009927099825290497,0.012508136,88.48585683107376,-0.9090492054820061,0.122119140625
332.93,260096,-35.393,594,127,437,28.70009422302246,0.0003,0.2,0.5354353189468384,6160,-0.010969685204327107,0.009120271,134.0692860007286,-0.8343993572518229,0.076123046875
335.14,262144,-38.967,600,128,436,7.710832595825195,0.0003,0.2,0.5741114616394043,6170,-0.017706827641814016,0.020470288,22.506427800655366,-0.9723164819180965,0.237255859375
336.53,264192,-40.02400000000001,607,129,434,5.807125091552734,0.0003,0.2,0.8850741386413574,6180,-0.013780878296529409,0.027725998,20.491883923113345,-1.0321587990969419,0.31064453125
338.47,266240,-39.721,616,130,431,5.859602451324463,0.0003,0.2,0.8459805846214294,6190,-0.016228212713031098,0.03723873,20.740109832584857,-0.9950778616592288,0.250634765625
344.7,268288,-43.26200000000001,622,131,431,3.2954492568969727,0.0003,0.2,0.7762676477432251,6200,-0.023189685863326304,0.026178157,17.04972133040428,-1.0045903041958808,0.24580078125
344.49,270336,-43.078,628,132,430,3.680527925491333,0.0003,0.2,0.7606099843978882,6210,-0.011729259046842345,0.012770027,42.14720856696367,-1.0333683457225562,0.165234375
347.72,272384,-44.542,635,133,428,15.662801742553711,0.0003,0.2,0.7813661694526672,6220,-0.013034208757744636,0.009739356,46.69117637276649,-0.9887128742411733,0.105615234375
342.03,274432,-41.023,641,134,427,5.400557994842529,0.0003,0.2,0.7940295934677124,6230,-0.013210806489223615,0.018400948,13.746571393311024,-1.0333182951435447,0.256689453125
342.37,276480,-41.089,647,135,427,19.959239959716797,0.0003,0.2,0.6938734650611877,6240,-0.01965876777539961,0.015074937,56.269429594278336,-0.9516403479501605,0.12939453125
340.67,278528,-39.525,651,136,427,10.92740535736084,0.0003,0.2,0.7165590524673462,6250,-0.0175084274582332,0.022125745,57.90144474953413,-0.9807197565212846,0.205859375
343.11,280576,-40.98,657,137,426,19.73639678955078,0.0003,0.2,0.5030009746551514,6260,-0.022990612566354686,0.013544481,124.96990619301796,-0.9879737013950944,0.159765625
343.11,282624,-41.025999999999996,661,138,426,7.711977958679199,0.0003,0.2,0.768801748752594,6270,-0.016458318945660723,0.020880882,34.34821909070015,-0.9555601881816983,0.186474609375
343.23,284672,-41.101000000000006,666,139,426,6.772937297821045,0.0003,0.2,0.6748721599578857,6280,-0.017756191180524183,0.012127218,32.01971614360809,-1.0078443566337227,0.15263671875
