time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_range
493568,241,36.62,21.241000000000007,192,2567,-0.6212019365280866,2400,8.69498082846403,0.49258148670196533,0.17822265625,0.018786479,2.9980103969573975,-0.022296461669611745,0.0003,0.2
495616,242,41.69,18.348000000000003,192,2580,-0.6378449073061347,2410,11.40571569353342,0.7824044227600098,0.15283203125,0.017892892,2.6915929317474365,-0.018486599731841125,0.0003,0.2
497664,243,47.4,14.922,191,2593,-0.7432829361408949,2420,14.276138024032116,0.7995591163635254,0.139990234375,0.012812875,3.380870819091797,-0.016960463012219408,0.0003,0.2
499712,244,44.17,17.078999999999997,191,2607,-0.7229181675240397,2430,15.988340197503566,0.6709542870521545,0.143408203125,0.0131579675,7.712991237640381,-0.017886890030058566,0.0003,0.2
501760,245,46.16,15.815000000000003,191,2620,-0.6797045743092894,2440,21.739482459425925,0.8197209239006042,0.112451171875,0.01071072,12.835451126098633,-0.016076098474150056,0.0003,0.2
503808,246,47.94,14.573,191,2633,-0.7850304955616594,2450,16.61297864317894,0.6295400857925415,0.16513671875,0.018359974,7.454272747039795,-0.01910285629419377,0.0003,0.2
505856,247,45.65,15.149999999999999,191,2646,-0.7375784158706665,2460,18.617085398733614,0.707281768321991,0.12744140625,0.015428672,10.496458053588867,-0.01420590509515023,0.0003,0.2
507904,248,46.52,14.587,190,2659,-0.7886436210945249,2470,15.020360635966062,0.7604466080665588,0.151025390625,0.016159276,6.107379913330078,-0.01497389598225709,0.0003,0.2
509952,249,35.58,21.27,190,2673,-0.6674621786922217,2480,16.08934828788042,0.8134562373161316,0.11279296875,0.010548329,5.501154899597168,-0.014365952167281648,0.0003,0.2
512000,250,42.59,18.149,190,2687,-0.5643246101215482,2490,16.455535808205603,0.6730356216430664,0.123095703125,0.014050965,5.163776397705078,-0.01690300739282975,0.0003,0.2
514048,251,48.21,15.161,190,2700,-0.8217116834595799,2500,14.270495657622813,0.7334573268890381,0.203662109375,0.019789118,5.061929225921631,-0.025583929001004434,0.0003,0.2
516096,252,40.95,19.201,190,2713,-0.761068986915052,2510,14.776736150681973,0.7502742409706116,0.178759765625,0.019536382,3.491497278213501,-0.022943966127058957,0.0003,0.2
518144,253,43.7,17.833,190,2726,-0.5753889882937073,2520,11.15895206183195,0.7526243925094604,0.1373046875,0.016819313,4.6497883796691895,-0.02040701205842197,0.0003,0.2
