rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates
46.946999999999996,384,536576,1394,262,172.23,0.0003,-0.7003155540674925,-0.016460044973064213,2.940579652786255,10.372338526695966,0.025088323,0.2,0.18095703125,0.9522255659103394,7510
46.92400000000001,384,538624,1399,263,172.18,0.0003,-0.5474751713685692,-0.013264324511692394,9.605988502502441,22.850396962463854,0.011326987,0.2,0.09404296875,0.9448148608207703,7520
41.823,384,540672,1404,264,181.51,0.0003,-0.5436812820844352,-0.01916159805696225,9.429347038269043,21.996534536778928,0.009040412,0.2,0.09951171875,0.9352998733520508,7530
42.66999999999999,384,542720,1409,265,180.22,0.0003,-0.7184670072980225,-0.016343293710815488,5.540546417236328,16.628099912405013,0.013847058,0.2,0.150244140625,0.9256266355514526,7540
40.044,385,544768,1414,266,184.58,0.0003,-0.46146498871967195,-0.015690990214352496,5.704916000366211,19.46866314858198,0.0104570575,0.2,0.1052734375,0.9318968653678894,7550
44.48000000000001,385,546816,1419,267,177.3,0.0003,-0.5058459938503802,-0.01871847349975724,7.117237567901611,17.76624663621187,0.022047639,0.2,0.141943359375,0.9127281308174133,7560
41.525000000000006,385,548864,1424,268,183.11,0.0003,-0.4497237760573626,-0.013308275113377021,3.1419718265533447,12.872829155623913,0.015174071,0.2,0.11337890625,0.9135447144508362,7570
40.547000000000004,385,550912,1429,269,185.25,0.0003,-0.685768056474626,-0.021325094216444997,2.743842363357544,10.204133452475071,0.022821292,0.2,0.2240234375,0.8978894948959351,7580
46.666000000000004,385,552960,1434,270,175.01,0.0003,-0.5057121649384498,-0.015238429498276673,7.331761360168457,17.471850267052652,0.012796293,0.2,0.140869140625,0.9092056155204773,7590
46.035,385,555008,1439,271,176.86,0.0003,-0.432664442434907,-0.01578187756240368,7.004520893096924,15.074856324493885,0.014395243,0.2,0.11083984375,0.9165152907371521,7600
50.321,385,557056,1444,272,168.53,0.0003,-0.5538602282293141,-0.013974035954743159,2.7925987243652344,9.381958142668008,0.027866852,0.2,0.159716796875,0.9274278283119202,7610
49.895,385,559104,1449,273,169.99,0.0003,-0.4005661055445671,-0.016350515112571885,2.2246053218841553,14.253670033812522,0.01453739,0.2,0.110205078125,0.9430563449859619,7620
