time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss
1109,19.101000000000003,596,44.19,661504,323,3220,0.161669921875,0.8320554494857788,0.2,0.016580544,0.0003,6.360317707061768,-0.6665837164968252,-0.01464867157410481,19.664654494822024
1112,21.864999999999995,596,39.43,663552,324,3230,0.158642578125,0.8068333864212036,0.2,0.016314242,0.0003,9.05814266204834,-0.6736429398879409,-0.016471891486435197,20.24704549461603
1115,23.392,596,37.26,665600,325,3240,0.133447265625,0.8311783075332642,0.2,0.013422642,0.0003,14.771978378295898,-0.6315731609240174,-0.017680948867928238,27.19854254871607
1119,22.834,596,38.12,667648,326,3250,0.15791015625,0.6777772307395935,0.2,0.022627912,0.0003,4.86073112487793,-0.5962614878080785,-0.02376312417909503,14.233256894350053
1122,23.771999999999995,596,36.79,669696,327,3260,0.1595703125,0.745436429977417,0.2,0.020227471,0.0003,3.009941577911377,-0.608704521600157,-0.01923353800084442,11.476233495771885
1125,19.276,596,44.04,671744,328,3270,0.1546875,0.7848349213600159,0.2,0.020780362,0.0003,2.9316458702087402,-0.5926013495773077,-0.018535400506516454,12.26223678216338
1129,18.764,596,44.65,673792,329,3280,0.221240234375,0.8323485851287842,0.2,0.02472728,0.0003,3.507718324661255,-0.8354066133499145,-0.023445266707858535,13.134495245665311
1132,22.84700000000001,596,37.82,675840,330,3290,0.116015625,0.6755138635635376,0.2,0.015879452,0.0003,10.505874633789062,-0.5627044879831373,-0.012736274464259623,16.636182577908038
1135,20.886999999999997,596,41.6,677888,331,3300,0.160693359375,0.7831311225891113,0.2,0.01911246,0.0003,6.299929141998291,-0.5900103188119828,-0.017283795024559366,11.94442504644394
1138,17.636000000000003,597,47.77,679936,332,3310,0.162158203125,0.8053126335144043,0.2,0.018246176,0.0003,3.6780691146850586,-0.7120348263531924,-0.01983912578143645,15.140320920944214
1142,17.519,597,47.62,681984,333,3320,0.156982421875,0.8638462424278259,0.2,0.016756942,0.0003,3.416419744491577,-0.7356362674385309,-0.02133113403833704,17.722144317626952
1145,15.175999999999998,597,51.22,684032,334,3330,0.156982421875,0.8349056839942932,0.2,0.019877916,0.0003,4.693354606628418,-0.7192233154550195,-0.017036549822660164,16.022188760340214
1148,17.548,597,46.56,686080,335,3340,0.169287109375,0.7962818741798401,0.2,0.013581689,0.0003,8.257028579711914,-0.7351694278419018,-0.024555678197066298,26.575306874513625
1151,22.958999999999996,597,38.14,688128,336,3350,0.10859375,0.8459675908088684,0.2,0.011030529,0.0003,8.409941673278809,-0.655920605827123,-0.01703466051403666,26.800453373789786
1155,22.592,597,38.68,690176,337,3360,0.159912109375,0.6797743439674377,0.2,0.0197795,0.0003,2.87330961227417,-0.5639440907165408,-0.014859084735508076,10.613439637422562
