time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range
472,12.940000000000003,53.66,567296,277,1201,-0.8719369184225798,0.01850637,-0.018857950353412888,2760,26.449197793006896,7.693664073944092,0.0003,0.6312968730926514,0.1849609375,0.2
471,13.494999999999997,52.41,569344,278,1206,-0.82998126167804,0.014550198,-0.020088090433273465,2770,30.710607326030733,16.374191284179688,0.0003,0.6179323196411133,0.168505859375,0.2
472,16.843999999999998,45.88,571392,279,1210,-0.8118139995262027,0.018517248,-0.02179925512173213,2780,22.40976622402668,6.714017391204834,0.0003,0.6742086410522461,0.1705078125,0.2
472,15.161,49.95,573440,280,1214,-0.7553662335500121,0.018770989,-0.021937668592727277,2790,20.83167543709278,6.516081809997559,0.0003,0.5763157606124878,0.162548828125,0.2
472,14.698999999999998,50.78,575488,281,1217,-0.8750869613140821,0.014625106,-0.020997099353189698,2800,20.84561943113804,12.117551803588867,0.0003,0.5948042273521423,0.193359375,0.2
472,13.092,53.81,577536,282,1221,-0.7484199583530426,0.01680573,-0.020189164730982156,2810,21.784666979312895,9.683481216430664,0.0003,0.3984319567680359,0.164599609375,0.2
472,14.109000000000004,51.75,579584,283,1225,-0.8425918424502015,0.018577624,-0.018698093698185404,2820,15.730960172414779,5.408267974853516,0.0003,0.6478224396705627,0.186376953125,0.2
473,12.505,53.92,581632,284,1229,-0.8081059206277132,0.020821784,-0.022780317776778247,2830,26.74858175814152,11.015637397766113,0.0003,0.6010828614234924,0.17275390625,0.2
473,16.009,47.6,583680,285,1233,-0.800603955425322,0.020867582,-0.03607756186975166,2840,21.536351758241654,8.084625244140625,0.0003,0.6631256341934204,0.2259765625,0.2
473,15.462,47.91,585728,286,1236,-0.7773182375356555,0.017683562,-0.025809901478351095,2850,23.586395564675332,7.8622846603393555,0.0003,0.6145225167274475,0.1666015625,0.2
473,16.593000000000004,46.36,587776,287,1241,-0.746702604740858,0.0191869,-0.018308363731193822,2860,19.236690786480903,6.664320468902588,0.0003,0.47208476066589355,0.15703125,0.2
473,15.347000000000003,49.48,589824,288,1245,-0.7756900005042553,0.022170296,-0.01711425337853143,2870,19.403260457515717,7.671392917633057,0.0003,0.5994138717651367,0.17412109375,0.2
473,16.526,46.66,591872,289,1249,-0.842605315335095,0.017599074,-0.01628258089913288,2880,13.148801159858703,3.033878803253174,0.0003,0.5793309807777405,0.197705078125,0.2
474,19.828000000000003,41.01,593920,290,1252,-0.6682286936789751,0.018058497,-0.017140496606589294,2890,15.14641339480877,3.413358449935913,0.0003,0.5929889678955078,0.14453125,0.2
474,15.962000000000003,48.16,595968,291,1256,-0.7610129160806537,0.014140755,-0.021226784656755628,2900,20.981720304489137,8.36655330657959,0.0003,0.6308460235595703,0.152685546875,0.2
474,12.931,53.85,598016,292,1259,-0.8430288517847657,0.016463032,-0.024640664749313146,2910,19.969246961176395,6.153015613555908,0.0003,0.7485337853431702,0.190283203125,0.2
475,16.887,46.27,600064,293,1262,-0.8494058316573501,0.012364063,-0.017423412614152766,2920,24.614526304602624,7.116438865661621,0.0003,0.700091540813446,0.163623046875,0.2
475,17.084999999999997,46.14,602112,294,1265,-0.700011552684009,0.015527971,-0.02507028537802398,2930,23.282526123523713,7.591676712036133,0.0003,0.5482761263847351,0.1513671875,0.2
476,15.992000000000003,48.17,604160,295,1269,-0.7703787632286548,0.018109677,-0.018166772220865823,2940,16.201623436808585,5.315086841583252,0.0003,0.7014789581298828,0.1609375,0.2
476,12.984000000000002,53.88,606208,296,1272,-0.8339015960693359,0.016892439,-0.021413039312756156,2950,21.910638451576233,5.616091728210449,0.0003,0.7061195373535156,0.157763671875,0.2
476,11.845,55.48,608256,297,1275,-0.8612685721367598,0.017372038,-0.022298391909134806,2960,21.071723645925523,4.511075973510742,0.0003,0.7500060200691223,0.174072265625,0.2
