time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/explained_variance
4301,799.11,90.69200000000001,331,677888,157,1.1086174985393882,0.0003,17980,-0.7972579160705209,0.2,-0.022856716399837752,0.42833399772644043,0.025959805,0.226318359375,0.9997870922088623
4313,799.11,90.421,332,679936,157,0.781826011557132,0.0003,17990,-0.7078431500121951,0.2,-0.025645582650031428,0.4300087094306946,0.027198458,0.20205078125,0.9997822046279907
4326,799.11,90.834,333,681984,157,1.0096783676184713,0.0003,18000,-0.7913092508912086,0.2,-0.020337340026162564,0.3025529682636261,0.02093762,0.164111328125,0.9997149109840393
4339,799.11,92.01899999999999,334,684032,157,0.8046142117120325,0.0003,18010,-0.7421940635889769,0.2,-0.024325348022102844,0.3034864366054535,0.02234752,0.165673828125,0.9997777938842773
4351,799.11,92.103,335,686080,157,0.957629329059273,0.0003,18020,-0.7253770159557462,0.2,-0.030690698881517164,0.13606131076812744,0.02125673,0.201611328125,0.9998170137405396
4363,799.11,92.68799999999999,336,688128,157,1.3866674924269318,0.0003,18030,-0.7597307156771421,0.2,-0.021386987729056273,0.5274372696876526,0.023365678,0.1845703125,0.9995918869972229
4376,799.11,92.75299999999999,337,690176,157,1.2006828688085078,0.0003,18040,-0.687030278518796,0.2,-0.0213347988872556,0.1782267540693283,0.02103854,0.177783203125,0.9997146725654602
4388,799.11,92.90499999999999,338,692224,157,0.822864861227572,0.0003,18050,-0.8167706342414022,0.2,-0.02520983477879781,0.30576059222221375,0.02431804,0.217041015625,0.9997903108596802
4400,799.11,93.49799999999999,339,694272,157,1.0077785099856555,0.0003,18060,-0.6952542562037707,0.2,-0.018538379154051654,0.45946699380874634,0.038743548,0.1666015625,0.9997971653938293
4413,799.11,94.65299999999999,340,696320,157,0.7604190422222018,0.0003,18070,-0.8102686544880271,0.2,-0.020058880456781482,0.28771141171455383,0.02036688,0.22724609375,0.9998199939727783
4425,799.11,95.292,341,698368,157,0.9719508898444473,0.0003,18080,-0.7112716969102622,0.2,-0.02702081561583327,0.2552525997161865,0.021935072,0.177880859375,0.9997695684432983
4437,799.11,94.97100000000002,342,700416,157,0.8920222799759359,0.0003,18090,-0.7291813589632511,0.2,-0.02210754778352566,0.34302324056625366,0.019637704,0.199609375,0.9997989535331726
4450,799.11,91.75,343,702464,157,1.0568614602088928,0.0003,18100,-0.7645129434764385,0.2,-0.022056886758946348,0.41032248735427856,0.021310698,0.185205078125,0.9994763135910034
4463,799.11,91.669,344,704512,157,1.0158302296418698,0.0003,18110,-0.7658829886466265,0.2,-0.019142021966399626,0.1040937751531601,0.050293185,0.214892578125,0.9993538856506348
4475,799.11,91.11699999999999,345,706560,157,1.0851626721210779,0.0003,18120,-0.7780895272269845,0.2,-0.023790926804213085,0.1850537806749344,0.02276723,0.195068359375,0.9995661377906799
